estrategia,n_total,n_clusters,noise_ratio,silhouette,dbi,chi,dbcv,purity,entropy_mean,ari,nmi,tempo_s,score
tfidf,56,13,0.0,0.6159,0.5242,167.6758,0.6244,0.6607,0.885,0.3461,0.6003,5.798,0.686
tfidf_ngram,56,12,0.0179,0.5825,0.645,275.4278,0.574,0.7273,0.7281,0.3817,0.638,0.053,0.6949
tfidf_category,56,11,0.0,0.6231,0.5265,832.2243,0.6224,1.0,0.0,0.8433,0.922,0.05,0.8523
tfidf_behavioral,56,9,0.0,0.6557,0.4531,7970.5804,0.6286,1.0,0.0,0.9161,0.957,0.052,0.8641
tfidf_functional,56,11,0.0179,0.644,0.5727,4591.0579,0.6297,1.0,0.0,0.8556,0.925,0.051,0.8541
