questao,n_total,n_clusters,noise_ratio,silhouette,dbi,chi,dbcv,purity,entropy_mean,nmi,ari,score
1,17,3,0.0,0.3042,0.8772,6.566,0.1336,0.9412,0.1379,0.8881,0.8389,0.6738
2,18,3,0.0,0.5465,0.5889,28.2094,0.5968,0.8889,0.4677,0.8826,0.8561,0.797
3,17,3,0.0,0.4563,0.761,27.0871,0.3883,0.7059,1.0923,0.6559,0.545,0.6357
4,17,4,0.0,0.2411,1.0257,7.6892,0.2068,0.7059,0.5147,0.5263,0.1305,0.5428
5,17,6,0.0588,0.2942,0.9008,6.1105,0.2267,0.9375,0.1667,0.5016,0.161,0.6088
6,17,4,0.0,0.3752,0.6448,7.9524,0.3168,0.9412,0.25,0.9051,0.955,0.7301
MEDIA,,,0.0098,0.3696,0.7997,13.9358,0.3115,0.8534,0.4382,0.7266,0.5811,0.6647
