ari
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.7353888633225955
0.8338417081393482
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.949425088614161
0.961864406779661
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.8006833712984055
0.8315771290378303
1.0
